# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
2762.00000000,DELIVERY19,DELIVERY22,0.00000000
2763.00000000,DELIVERY18,DELIVERY19,0.00000000
2763.00000000,DELIVERY18,DELIVERY22,0.00000000
2763.00000000,DELIVERY21,DELIVERY24,0.00000000
2763.00000000,DELIVERY19,DELIVERY22,0.00000000
2764.00000000,DELIVERY18,DELIVERY19,0.00000000
2764.00000000,DELIVERY18,DELIVERY22,0.00000000
2764.00000000,DELIVERY21,DELIVERY24,0.00000000
2764.00000000,DELIVERY19,DELIVERY22,0.00000000
2765.00000000,DELIVERY18,DELIVERY19,0.00000000
2765.00000000,DELIVERY18,DELIVERY22,0.00000000
2765.00000000,DELIVERY21,DELIVERY24,0.00000000
2765.00000000,DELIVERY19,DELIVERY22,0.00000000
2766.00000000,DELIVERY18,DELIVERY19,0.00000000
2766.00000000,DELIVERY18,DELIVERY22,0.00000000
2766.00000000,DELIVERY21,DELIVERY24,0.00000000
2766.00000000,DELIVERY19,DELIVERY22,0.00000000
2767.00000000,DELIVERY18,DELIVERY19,0.00000000
2767.00000000,DELIVERY18,DELIVERY22,0.00000000
2767.00000000,DELIVERY21,DELIVERY24,0.00000000
2767.00000000,DELIVERY19,DELIVERY22,0.00000000
2768.00000000,DELIVERY18,DELIVERY19,0.00000000
2768.00000000,DELIVERY18,DELIVERY22,0.00000000
2768.00000000,DELIVERY21,DELIVERY24,0.00000000
2768.00000000,DELIVERY19,DELIVERY22,0.00000000
2769.00000000,DELIVERY18,DELIVERY19,0.00000000
2769.00000000,DELIVERY18,DELIVERY22,0.00000000
2769.00000000,DELIVERY21,DELIVERY24,0.00000000
2769.00000000,DELIVERY19,DELIVERY22,0.00000000
2770.00000000,DELIVERY18,DELIVERY19,0.00000000
2770.00000000,DELIVERY18,DELIVERY22,0.00000000
2770.00000000,DELIVERY21,DELIVERY24,0.00000000
2770.00000000,DELIVERY19,DELIVERY22,0.00000000
2771.00000000,DELIVERY18,DELIVERY19,0.00000000
2771.00000000,DELIVERY18,DELIVERY22,0.00000000
2771.00000000,DELIVERY21,DELIVERY24,0.00000000
2771.00000000,DELIVERY19,DELIVERY22,0.00000000
2772.00000000,DELIVERY18,DELIVERY19,0.00000000
2772.00000000,DELIVERY18,DELIVERY22,0.00000000
2772.00000000,DELIVERY21,DELIVERY24,0.00000000
2772.00000000,DELIVERY19,DELIVERY22,0.00000000
2773.00000000,DELIVERY18,DELIVERY19,0.00000000
2773.00000000,DELIVERY18,DELIVERY22,0.00000000
2773.00000000,DELIVERY21,DELIVERY24,0.00000000
2773.00000000,DELIVERY19,DELIVERY22,0.00000000
2774.00000000,DELIVERY18,DELIVERY19,0.00000000
2774.00000000,DELIVERY18,DELIVERY22,0.00000000
2774.00000000,DELIVERY21,DELIVERY24,0.00000000
2774.00000000,DELIVERY19,DELIVERY22,0.00000000
2775.00000000,DELIVERY18,DELIVERY19,0.00000000
2775.00000000,DELIVERY18,DELIVERY22,0.00000000
2775.00000000,DELIVERY21,DELIVERY24,0.00000000
2775.00000000,DELIVERY19,DELIVERY22,0.00000000
2776.00000000,DELIVERY18,DELIVERY19,0.00000000
2776.00000000,DELIVERY18,DELIVERY22,0.00000000
2776.00000000,DELIVERY21,DELIVERY24,0.00000000
2776.00000000,DELIVERY19,DELIVERY22,0.00000000
2777.00000000,DELIVERY18,DELIVERY19,0.00000000
2777.00000000,DELIVERY18,DELIVERY22,0.00000000
2777.00000000,DELIVERY21,DELIVERY24,0.00000000
2777.00000000,DELIVERY19,DELIVERY22,0.00000000
2778.00000000,DELIVERY18,DELIVERY19,0.00000000
2778.00000000,DELIVERY18,DELIVERY22,0.00000000
2778.00000000,DELIVERY21,DELIVERY24,0.00000000
2778.00000000,DELIVERY19,DELIVERY22,0.00000000
2779.00000000,DELIVERY18,DELIVERY19,0.00000000
2779.00000000,DELIVERY18,DELIVERY22,0.00000000
2779.00000000,DELIVERY21,DELIVERY24,0.00000000
2779.00000000,DELIVERY19,DELIVERY22,0.00000000
2780.00000000,DELIVERY18,DELIVERY19,0.00000000
2780.00000000,DELIVERY18,DELIVERY22,0.00000000
2780.00000000,DELIVERY21,DELIVERY24,0.00000000
2780.00000000,DELIVERY19,DELIVERY22,0.00000000
2781.00000000,DELIVERY18,DELIVERY19,0.00000000
2781.00000000,DELIVERY18,DELIVERY22,0.00000000
2781.00000000,DELIVERY21,DELIVERY24,0.00000000
2781.00000000,DELIVERY19,DELIVERY22,0.00000000
2782.00000000,DELIVERY18,DELIVERY19,0.00000000
2782.00000000,DELIVERY18,DELIVERY22,0.00000000
2782.00000000,DELIVERY21,DELIVERY24,0.00000000
2782.00000000,DELIVERY19,DELIVERY22,0.00000000
2783.00000000,DELIVERY18,DELIVERY19,0.00000000
2783.00000000,DELIVERY18,DELIVERY22,0.00000000
2783.00000000,DELIVERY21,DELIVERY24,0.00000000
2783.00000000,DELIVERY19,DELIVERY22,0.00000000
2784.00000000,DELIVERY18,DELIVERY19,0.00000000
2784.00000000,DELIVERY18,DELIVERY22,0.00000000
2784.00000000,DELIVERY21,DELIVERY24,0.00000000
2784.00000000,DELIVERY19,DELIVERY22,0.00000000
2785.00000000,DELIVERY18,DELIVERY19,0.00000000
2785.00000000,DELIVERY18,DELIVERY22,0.00000000
2785.00000000,DELIVERY21,DELIVERY24,0.00000000
2785.00000000,DELIVERY19,DELIVERY22,0.00000000
2786.00000000,DELIVERY21,DELIVERY24,0.00000000
2787.00000000,DELIVERY21,DELIVERY24,0.00000000
2788.00000000,DELIVERY21,DELIVERY24,0.00000000
2789.00000000,DELIVERY21,DELIVERY24,0.00000000
2790.00000000,DELIVERY21,DELIVERY24,0.00000000
2791.00000000,DELIVERY21,DELIVERY24,0.00000000
2792.00000000,DELIVERY21,DELIVERY24,0.00000000
2793.00000000,DELIVERY21,DELIVERY24,0.00000000
2794.00000000,DELIVERY18,DELIVERY19,0.00418965
2794.00000000,DELIVERY18,DELIVERY22,0.00418965
2794.00000000,DELIVERY21,DELIVERY24,0.00000000
2794.00000000,DELIVERY19,DELIVERY22,0.00000000
2795.00000000,DELIVERY21,DELIVERY24,0.00000000
2795.00000000,DELIVERY19,DELIVERY22,0.00000000
2796.00000000,DELIVERY18,DELIVERY19,2.87921779
2796.00000000,DELIVERY18,DELIVERY22,2.87921779
2796.00000000,DELIVERY21,DELIVERY24,0.00000000
2796.00000000,DELIVERY19,DELIVERY22,0.00000000
2797.00000000,DELIVERY21,DELIVERY24,0.00000000
2797.00000000,DELIVERY19,DELIVERY22,0.00000000
2798.00000000,DELIVERY21,DELIVERY24,0.00000000
2798.00000000,DELIVERY19,DELIVERY22,0.00000000
