# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
3554.00000000,DELIVERY26,DELIVERY28,0.00000000
3555.00000000,DELIVERY26,DELIVERY28,0.00000000
3556.00000000,DELIVERY26,DELIVERY28,0.00000000
3557.00000000,DELIVERY26,DELIVERY28,0.00000000
3558.00000000,DELIVERY26,DELIVERY28,0.00000000
3559.00000000,DELIVERY26,DELIVERY28,0.00000000
3560.00000000,DELIVERY26,DELIVERY28,0.00000000
3561.00000000,DELIVERY26,DELIVERY28,0.00000000
3562.00000000,DELIVERY26,DELIVERY28,0.00000000
3563.00000000,DELIVERY26,DELIVERY28,0.00000000
3564.00000000,DELIVERY26,DELIVERY28,0.00000000
3565.00000000,DELIVERY26,DELIVERY28,0.00000000
3566.00000000,DELIVERY26,DELIVERY28,0.00000000
3567.00000000,DELIVERY26,DELIVERY28,0.00000000
3568.00000000,DELIVERY26,DELIVERY28,0.00000000
3569.00000000,DELIVERY26,DELIVERY28,0.00000000
3570.00000000,DELIVERY26,DELIVERY28,0.00000000
3571.00000000,DELIVERY26,DELIVERY28,0.00000000
3572.00000000,DELIVERY26,DELIVERY28,0.00000000
3573.00000000,DELIVERY26,DELIVERY28,0.00000000
3574.00000000,DELIVERY26,DELIVERY28,0.00000000
3575.00000000,DELIVERY26,DELIVERY28,0.00000000
3576.00000000,DELIVERY26,DELIVERY28,0.00000000
3577.00000000,DELIVERY26,DELIVERY28,0.00000000
3578.00000000,DELIVERY26,DELIVERY28,0.00000000
3579.00000000,DELIVERY26,DELIVERY28,0.00000000
3580.00000000,DELIVERY26,DELIVERY28,0.00000000
3581.00000000,DELIVERY26,DELIVERY28,0.00000000
3582.00000000,DELIVERY26,DELIVERY28,0.00000000
3583.00000000,DELIVERY26,DELIVERY28,0.00000000
3584.00000000,DELIVERY26,DELIVERY28,0.00000000
3585.00000000,DELIVERY26,DELIVERY28,0.00000000
3586.00000000,DELIVERY26,DELIVERY28,0.00000000
3587.00000000,DELIVERY26,DELIVERY28,0.00000000
3588.00000000,DELIVERY26,DELIVERY28,0.00000000
3589.00000000,DELIVERY26,DELIVERY28,0.00000000
3590.00000000,DELIVERY26,DELIVERY28,0.00000000
3591.00000000,DELIVERY26,DELIVERY28,0.00000000
3592.00000000,DELIVERY26,DELIVERY28,0.00000000
3593.00000000,DELIVERY26,DELIVERY28,0.00000000
3594.00000000,DELIVERY26,DELIVERY28,0.00000000
3595.00000000,DELIVERY26,DELIVERY28,0.00000000
3596.00000000,DELIVERY26,DELIVERY28,0.00000000
3597.00000000,DELIVERY26,DELIVERY28,0.00000000
3598.00000000,DELIVERY26,DELIVERY28,0.00000000
3598.00000000,DELIVERY25,DELIVERY29,0.52665787
3599.00000000,DELIVERY26,DELIVERY28,0.00000000
3600.00000000,DELIVERY26,DELIVERY28,0.00000000
3601.00000000,DELIVERY26,DELIVERY28,0.00000000
