# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
2171.00000000,DELIVERY14,DELIVERY17,0.00000000
2171.00000000,DELIVERY15,DELIVERY16,0.00000000
2172.00000000,DELIVERY12,DELIVERY14,0.00000000
2172.00000000,DELIVERY12,DELIVERY17,0.00000000
2172.00000000,DELIVERY14,DELIVERY17,0.00000000
2172.00000000,DELIVERY15,DELIVERY16,0.00000000
2173.00000000,DELIVERY12,DELIVERY14,0.00000000
2173.00000000,DELIVERY12,DELIVERY17,0.00000000
2173.00000000,DELIVERY14,DELIVERY17,0.00000000
2173.00000000,DELIVERY15,DELIVERY16,0.00000000
2174.00000000,DELIVERY12,DELIVERY14,0.00000000
2174.00000000,DELIVERY12,DELIVERY17,0.00000000
2174.00000000,DELIVERY14,DELIVERY17,0.00000000
2174.00000000,DELIVERY15,DELIVERY16,0.00000000
2175.00000000,DELIVERY12,DELIVERY14,0.00000000
2175.00000000,DELIVERY12,DELIVERY17,0.00000000
2175.00000000,DELIVERY14,DELIVERY17,0.00000000
2175.00000000,DELIVERY15,DELIVERY16,0.00000000
2176.00000000,DELIVERY12,DELIVERY14,0.00000000
2176.00000000,DELIVERY12,DELIVERY17,0.00000000
2176.00000000,DELIVERY14,DELIVERY17,0.00000000
2176.00000000,DELIVERY15,DELIVERY16,0.00000000
2177.00000000,DELIVERY12,DELIVERY14,0.00000000
2177.00000000,DELIVERY12,DELIVERY17,0.00000000
2177.00000000,DELIVERY14,DELIVERY17,0.00000000
2177.00000000,DELIVERY15,DELIVERY16,0.00000000
2178.00000000,DELIVERY12,DELIVERY14,0.00000000
2178.00000000,DELIVERY12,DELIVERY17,0.00000000
2178.00000000,DELIVERY14,DELIVERY17,0.00000000
2178.00000000,DELIVERY15,DELIVERY16,0.00000000
2179.00000000,DELIVERY12,DELIVERY14,0.00000000
2179.00000000,DELIVERY12,DELIVERY17,0.00000000
2179.00000000,DELIVERY14,DELIVERY17,0.00000000
2179.00000000,DELIVERY15,DELIVERY16,0.00000000
2180.00000000,DELIVERY12,DELIVERY14,0.00000000
2180.00000000,DELIVERY12,DELIVERY17,0.00000000
2180.00000000,DELIVERY14,DELIVERY17,0.00000000
2180.00000000,DELIVERY15,DELIVERY16,0.00000000
2181.00000000,DELIVERY12,DELIVERY14,0.00000000
2181.00000000,DELIVERY12,DELIVERY17,0.00000000
2181.00000000,DELIVERY14,DELIVERY17,0.00000000
2181.00000000,DELIVERY15,DELIVERY16,0.00000000
2182.00000000,DELIVERY12,DELIVERY14,0.00000000
2182.00000000,DELIVERY12,DELIVERY17,0.00000000
2182.00000000,DELIVERY14,DELIVERY17,0.00000000
2182.00000000,DELIVERY15,DELIVERY16,0.00000000
2183.00000000,DELIVERY12,DELIVERY14,0.00000000
2183.00000000,DELIVERY12,DELIVERY17,0.00000000
2183.00000000,DELIVERY14,DELIVERY17,0.00000000
2183.00000000,DELIVERY15,DELIVERY16,0.00000000
2184.00000000,DELIVERY12,DELIVERY14,0.00000000
2184.00000000,DELIVERY12,DELIVERY17,0.00000000
2184.00000000,DELIVERY14,DELIVERY17,0.00000000
2184.00000000,DELIVERY15,DELIVERY16,0.00981062
2185.00000000,DELIVERY12,DELIVERY14,0.00000000
2185.00000000,DELIVERY12,DELIVERY17,0.00000000
2185.00000000,DELIVERY14,DELIVERY17,0.00000000
2185.00000000,DELIVERY15,DELIVERY16,0.44059469
2186.00000000,DELIVERY15,DELIVERY16,0.44059469
2187.00000000,DELIVERY15,DELIVERY16,0.44059469
2188.00000000,DELIVERY15,DELIVERY16,0.44059469
2189.00000000,DELIVERY15,DELIVERY16,0.44059469
2190.00000000,DELIVERY15,DELIVERY16,0.44059469
2191.00000000,DELIVERY15,DELIVERY16,0.37130139
2194.00000000,DELIVERY12,DELIVERY14,0.00418965
2194.00000000,DELIVERY12,DELIVERY17,0.00000000
2194.00000000,DELIVERY14,DELIVERY17,0.00418965
2195.00000000,DELIVERY12,DELIVERY17,0.00000000
2196.00000000,DELIVERY12,DELIVERY14,2.87921779
2196.00000000,DELIVERY12,DELIVERY17,0.00000000
2196.00000000,DELIVERY14,DELIVERY17,2.87921779
2197.00000000,DELIVERY12,DELIVERY17,0.00000000
2198.00000000,DELIVERY12,DELIVERY17,0.00000000
2199.00000000,DELIVERY12,DELIVERY17,0.00000000
2200.00000000,DELIVERY12,DELIVERY17,0.00000000
2201.00000000,DELIVERY12,DELIVERY17,0.00000000
2202.00000000,DELIVERY12,DELIVERY17,0.00000000
2203.00000000,DELIVERY12,DELIVERY17,0.00000000
2204.00000000,DELIVERY12,DELIVERY17,0.00000000
2205.00000000,DELIVERY12,DELIVERY17,0.00000000
2206.00000000,DELIVERY12,DELIVERY17,0.00000000
2207.00000000,DELIVERY12,DELIVERY17,0.00000000
2208.00000000,DELIVERY12,DELIVERY17,0.00000000
2209.00000000,DELIVERY12,DELIVERY17,0.00000000
2210.00000000,DELIVERY12,DELIVERY17,0.00000000
2211.00000000,DELIVERY12,DELIVERY17,0.00000000
2212.00000000,DELIVERY12,DELIVERY17,0.00000000
2213.00000000,DELIVERY12,DELIVERY17,0.00000000
2214.00000000,DELIVERY12,DELIVERY17,0.00000000
2215.00000000,DELIVERY12,DELIVERY17,0.00000000
2216.00000000,DELIVERY12,DELIVERY17,0.00000000
2217.00000000,DELIVERY12,DELIVERY17,0.00000000
2218.00000000,DELIVERY12,DELIVERY17,0.00000000
2219.00000000,DELIVERY12,DELIVERY17,0.00000000
2220.00000000,DELIVERY12,DELIVERY17,0.00000000
2221.00000000,DELIVERY12,DELIVERY17,0.00000000
2222.00000000,DELIVERY12,DELIVERY17,0.00000000
2223.00000000,DELIVERY12,DELIVERY17,0.00000000
2224.00000000,DELIVERY12,DELIVERY17,0.00000000
2225.00000000,DELIVERY12,DELIVERY17,0.00000000
2226.00000000,DELIVERY12,DELIVERY17,0.00000000
2227.00000000,DELIVERY12,DELIVERY17,0.00000000
2228.00000000,DELIVERY12,DELIVERY17,0.00000000
2229.00000000,DELIVERY12,DELIVERY17,0.00000000
2230.00000000,DELIVERY12,DELIVERY17,0.00000000
2231.00000000,DELIVERY12,DELIVERY17,0.00000000
2232.00000000,DELIVERY12,DELIVERY17,0.00000000
2233.00000000,DELIVERY12,DELIVERY17,0.00000000
2234.00000000,DELIVERY12,DELIVERY17,0.00000000
2235.00000000,DELIVERY12,DELIVERY17,0.00000000
2236.00000000,DELIVERY12,DELIVERY17,0.00000000
2237.00000000,DELIVERY12,DELIVERY17,0.00000000
2238.00000000,DELIVERY12,DELIVERY17,0.00000000
2239.00000000,DELIVERY12,DELIVERY17,0.00000000
2240.00000000,DELIVERY12,DELIVERY17,0.00000000
2241.00000000,DELIVERY12,DELIVERY17,0.00000000
2242.00000000,DELIVERY12,DELIVERY17,0.00000000
2243.00000000,DELIVERY12,DELIVERY17,0.00000000
2244.00000000,DELIVERY12,DELIVERY17,0.00000000
2245.00000000,DELIVERY12,DELIVERY17,0.00000000
2246.00000000,DELIVERY12,DELIVERY17,0.00000000
2247.00000000,DELIVERY12,DELIVERY17,0.00000000
2248.00000000,DELIVERY12,DELIVERY17,0.00000000
2249.00000000,DELIVERY12,DELIVERY17,0.00000000
2250.00000000,DELIVERY12,DELIVERY17,0.00000000
2251.00000000,DELIVERY12,DELIVERY17,0.00000000
2252.00000000,DELIVERY12,DELIVERY17,0.00000000
2253.00000000,DELIVERY12,DELIVERY17,0.00000000
2254.00000000,DELIVERY12,DELIVERY17,0.00000000
2255.00000000,DELIVERY12,DELIVERY17,0.00000000
2256.00000000,DELIVERY12,DELIVERY17,0.00000000
2257.00000000,DELIVERY12,DELIVERY17,0.00000000
2258.00000000,DELIVERY12,DELIVERY17,0.00000000
2259.00000000,DELIVERY12,DELIVERY17,0.00000000
2260.00000000,DELIVERY12,DELIVERY17,0.00000000
2261.00000000,DELIVERY12,DELIVERY17,0.00000000
2262.00000000,DELIVERY12,DELIVERY17,0.00000000
2263.00000000,DELIVERY12,DELIVERY17,0.00000000
2264.00000000,DELIVERY12,DELIVERY17,0.00000000
